4 14 BBBB
0f182fbf 400085b6
bb85d68b 7f7899b7
79cb9a9d 3074a24e
ede828cb 408c96e4
1ca7b972 cc2d003d
5680cce3 9a0c9878
bbe5e653 e007575d
c9c859b7 8d726cb6
1d2eb53b aae1277d
e88eb77f 16dcd4dc
d24afe6c bd2b144c
af83cc96 3c3acb59
2c2371a3 d94b55ca
f2aaaf1e a8d2ec9b
892d29a1 86316eb1
adac4e94 3a67ce23
f6a04041 77eb9748
bcfb4bbd 941cf550
29b54207 484609ce
a2c980ed 2d74ab1a
56bc4d02 d2f4c4c9
24264023 840a84f8
72e36a89 a5042d74
17bc99df 9e6e3d6c
d62f3af3 a35dcf7f
cabe88a9 fd0b50c7
2c5a95d9 a195ba86
5440db29 80c89b59
ed958d70 57ec3f2d
c82badd2 c57a5414
3c29e6d9 8d351fc3
acea38f0 39b2a24d
20c14433 3ec234e0
cf84cf12 f8699270
0364b6a2 a61767ae
e8b53ce7 2dbd6a5c
2a65859e 3dc9a018
1c6a5f8b 5929386d
534a96a1 1ef8b107
b3bf0447 603668e6
59db9275 3cae9f45
60275fca 49afb6dd
b4836ae4 6b5527aa
7297dc9d 6cf12e61
ea927b11 27eccbd2
d28a07b2 fa8795fc
834920a0 e1206aaa
872e3adc 90d29e07
cac4c601 837ec5de
46ea1f48 02c9d59d
d4a201ea ed4866f4
d4933850 74d914ca
204d45e7 72596fd7
d38e5163 1323d522
029e3040 bf99e61b
b1ea921b 7240b6bb
df126a10 7e5c558f
7eb67a2d de52ebda
7ce70660 34cec5d7
7011dc7e 8d2eeb58
8adb121f 5b72db28
d840d478 4964e6a5
05257d65 b94e95fc
8a2abe16 2ee70b89
19158763 64f085e8
8b17c628 71f7917f
28e404f4 61468f45
64fbd8e9 7be6717b
19f7cff8 b29cf753
5bd67cb5 f5ea647e
91beeb83 b5a2704e
2232bd80 52b798b5
a4fd28ea 5fb41cd9
53d34890 d3d265c3
69c1aca4 6bf28b24
9ebcb96f d63123bc
33686553 0c5ccdfb
5602dbfc faf73607
61459aa5 da35517a
35a14d5b 9f33cdd4
c294ee73 b2ecdabe
39621522 c94eb7af
27b23f22 31b3795e
be854158 6803e3da
3efec944 fb3590e7
bf3edba8 52760a93
184b5c84 310f202b
a1012967 faddf683
fd76911e bece0b99
9510752d 7e571a85
57ee8238 c95163c2
3bd36aca da9de502
c35bd04e 7c4a74e0
c3b323c2 5a1cda4c
9d274d17 c6f0519d
72a0c528 ccd5d6fb
46022a1e 26f4750d
f90a5571 639c1288
784ca96e 42513d4c
7e32f321 994a293f
2ac4d8fa d0ab27b8
91cff62f f3905c79
89e63fd6 720b5651
6ec725d8 5c81551b
6bf6c238 15376807
6aeab2b4 2e465c3f
e4e4e52b 359b67e5
33f9c1cb 1ce66222
78825414 cc3ef160
b3cb8bbe 7a009da0
3f533bbf cf5f3e36
c975f3c1 467534f4
fc41159c 2b3187a1
ec4c2163 cf4bbdcf
b271c985 3d417ed7
588464ef 9cb6da5e
58cf86ca 15d2d807
4a090bfe 50c69259
e97610b7 b183f472
45278fc2 cec681d7
8029c063 38ce1f3f
cb642e16 3f6c70dc
234a2406 9d08f035
7a6c5f4e be26e91c
877a5baa da9e49f7
2379f92f a937dfc0
eaf043c0 c615c3f5
fba20b4c 935648c6
9702de81 0032a6c2
0dc2443d e325c667
9f5bd4d8 a79edb93
4ebc450d b69bfc6b
b452005f d305506e
1851fe26 bded6ed2
01a91d9f b63863f1
ef5798d1 74a17a44
ea1c0cf0 293275c5
2f5e4cc8 d402dda5
f1e115b0 779a5fe9
305833b3 5b41f77e
9a64ba1d 00d26ff8
9bb46db4 3850c41b
679039c9 9e521450
ff224560 a63bf823
8d2e5cd5 c2358aaa
191c757b 477b95cb
cb2a1347 2e688fbd
fe8c1269 9587e6b9
68cbd2e0 034b7e72
9b5944ba 2a7849ac
86d272d1 82924cfd
0c5a1b8f 445b8cba
dac064c5 0302623e
9e88010f fe9c178d
5ad9a473 447512ce
341a1d96 b42b81c2
472a2b28 1997a979
375d0a43 ccca2eff
7e5b9b1c b498de78
fbbbb268 b5de5044
2cd9be0d a0a0a2bf
b7fa2785 a2dd563d
b7f2d337 5d8cdfc8
df16be86 b83e3198
8a417d91 93ad6b06
a2f2f474 6f387718
94e4f710 8155fc29
19b252c5 2bc3a262
394117b2 5a796473
f0b1879c dfe1590e
7e8644c6 f0405a6c
1400a175 8d561436
b4421ca0 b99d644f
b0ca4568 ba772bc7
dd4f5d00 5aa3fdbd
5a1cf50a fa81b8ce
c3d4ff26 6936470c
0defabc7 9f197b8d
b4eee232 545e4118
73fbae5f 0ca714ef
35037988 07aa413c
b32a0cbf fec11ad4
d5741112 1ef808ab
3898e673 aa555628
3227cbcd a10b79ec
4e674d64 c55ed1f3
6cb34bce 73ff30f3
7cdb7d76 e4b1570e
eed2b8b3 d719f5bb
bce85b02 138d1be7
73ea0bc4 00f3552b
22b965eb aff4fde8
f1caa5b3 df617985
5d4ad7f5 b3fad445
86ff733d a72b1d15
cf9f98b5 45a0f978
5fba8e21 4f7a07b6
adcbdeee f92eda27
9f506808 1f58bcaa
7c6d328a 55633b2c
4ec92e34 5f94c5e5
2990f0d8 aa02b160
f880d49c 0f4e0350
29ef94fd a48074f7
99da82d8 7c911ce0
3636a5d3 df777fa9
53d2c5ef a709bd6b
9eac1d9f 3df7e6b4
bb9fc1f9 c7410b52
1e7a9d60 1ed18b8d
0e62ed4f 7f643a95
25592e01 d13ba737
fb64adc3 ad741fdf
c72d900f 212a344f
c71ce3bb d6c1a79e
1de2d5bb fb72740c
34d6ebb3 9096f154
3aec117d 4d1756b8
66b747aa 7d395ff6
d5527c35 e6baafcd
6b87ae06 5dcdb905
d0e9e733 a967c8f0
ebb85bf7 65aa4f8d
26569c03 c87a752b
2b6e41bf e58c4897
168bb38d b5e40ef2
d032bfbf 94afa3f1
5186c49a f6a49071
3944acc4 a6a51c75
f9d08fc9 c35d7847
79ecf5cd c873f390
8495bf28 6fcce09e
2cd3bf58 5e8c3fb1
9e558701 6af487b9
eb75cee8 9979e0e2
bdc1fbbe ad61b1b3
